Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2017-01-18,Plural Cooperativa de Crédito Consumo y Vivienda Ltda.,Serie II,ARS,35000000,PyME,0.2675,32.1,35.0000,FINANCIERO
2017-01-19,Tarshop S.A.,Clase VII,ARS,229000000,General,0.2450,18.2,229.0000,FINANCIERO
2017-01-19,Tarshop S.A.,Clase VIII,ARS,53237500,General,0.2450,30.4,53.2375,FINANCIERO
2017-01-19,GPAT Compañía Financiera S.A.,Serie XXVI Clase A,ARS,197142858,General,0.2249,12.2,197.1429,FINANCIERO
2017-01-19,GPAT Compañía Financiera S.A.,Serie XXVI Clase B,ARS,52857142,General,0.2307,24.3,52.8571,FINANCIERO
2017-01-25,Rombo Compañía Financiera S.A.,Serie XXXVI,ARS,180000000,General,0.2293,24.3,180.0000,FINANCIERO
2017-01-26,Ribeiro S.A.C.I.F.A. e I.,Clase Q Serie I,ARS,47971000,General,0.2494,90.2,47.9710,COMERCIO
2017-01-26,Ribeiro S.A.C.I.F.A. e I.,Clase Q Serie II,USD,1990500,General,0.0700,90.2,31.7000,COMERCIO
2017-01-26,AES Argentina Generación S.A.,Clase A,USD,300000000,General,0.0775,85.2,4783.4000,ENERGIA
2017-01-31,Aeropuertos Argentina 2000 S.A.,individual,USD,400000000,General,0.0688,121.6,6364.7000,CONSTRUCCION_E_INFRAESTRUCTURA
2017-02-02,Banco Supervielle S.A.,Clase A,ARS,4768170000,General,0.2475,42.6,4768.1700,FINANCIERO
2017-02-06,CLISA Cía Latinoamericana de Infraestructura y Servicios S.A.,Adicionales Clase Única,USD,100000000,General,0.0950,78.4,1562.0000,CONSTRUCCION_E_INFRAESTRUCTURA
2017-02-06,Inversora Juramento S.A.,Clase 6,ARS,400000000,General,0.2357,48.7,400.0000,AGROPECUARIO
2017-02-07,Toyota Compañía Financiera de Argentina S.A.,Clase 22,ARS,250000000,General,0.2291,24.3,250.0000,FINANCIERO
2017-02-08,Tarjetas Cuyanas S.A.,Clase XXVII Serie II,ARS,500000000,General,0.2381,36.5,500.0000,FINANCIERO
2017-02-09,Generación Mediterránea S.A.,Clase VI,USD,34696397,General,0.0800,36.5,542.0000,ENERGIA
2017-02-09,Generación Mediterránea S.A.,Clase VII,ARS,553737013,General,0.2425,24.3,553.7370,ENERGIA
2017-02-15,Banco Hipotecario S.A.,Clase XLI,ARS,354362000,General,0.2320,18.2,354.3620,FINANCIERO
2017-02-15,Banco Hipotecario S.A.,Clase XLII,ARS,645638000,General,0.2351,36.5,645.6380,FINANCIERO
2017-02-15,Agrofina S.A.,Clase V,ARS,331696229,General,0.2525,24.3,331.6962,INDUSTRIA
2017-02-15,Agrofina S.A.,Clase VI,USD,4378944,General,0.0700,24.3,68.0000,INDUSTRIA
2017-02-17,Banco Santander Río S.A.,Clase XVI,ARS,336000000,General,0.2232,18.2,336.0000,FINANCIERO
2017-02-17,Banco Santander Río S.A.,Clase XVII,ARS,664000000,General,0.2252,42.6,664.0000,FINANCIERO
2017-02-20,Banco Comafi S.A.,Clase 17,ARS,250000000,General,0.2264,24.3,250.0000,FINANCIERO
2017-03-06,Axion Energy Argentina S.A.,Clase VII,ARS,400000000,General,0.2182,18.3,400.0000,ENERGIA
2017-03-15,Algabo S.A.,Serie III,ARS,10000000,PyME,0.2450,36.5,10.0000,INDUSTRIA
2017-03-15,Raghsa S.A.,Clase 3 Serie I,USD,100000000,General,0.0725,85.2,1555.0000,CONSTRUCCION_E_INFRAESTRUCTURA
